Tabla/ Accion/ Id fila modificada/ Direccion ip/ Fecha/ Usuario/ Nombre del Usuario
Turista/ DELETE/ 17/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Choferes/ UPDATE/ 3/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Autos/ UPDATE/ 65/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Contratos/ UPDATE/ 31/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Contratos/ UPDATE/ 31/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Contratos/ UPDATE/ 14/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Contratos/ UPDATE/ 14/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Contratos/ UPDATE/ 15/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Contratos/ UPDATE/ 15/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Contratos/ UPDATE/ 16/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Contratos/ UPDATE/ 16/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Contratos/ UPDATE/ 17/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Contratos/ UPDATE/ 17/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Contratos/ UPDATE/ 18/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Contratos/ UPDATE/ 18/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Usuarios/ UPDATE/ 14/ 127.0.0.1/ 2017-06-30/ luisito/ luisito suarez
Modelos/ UPDATE/ 2/ 127.0.0.1/ 2017-07-02/ luisito/ luisito suarez
Autos/ UPDATE/ 6/ 127.0.0.1/ 2017-07-02/ luisito/ luisito suarez
Contratos/ UPDATE/ 18/ 127.0.0.1/ 2017-07-02/ luisito/ luisito suarez
Contratos/ UPDATE/ 18/ 127.0.0.1/ 2017-07-02/ luisito/ luisito suarez
Usuarios/ UPDATE/ 15/ 127.0.0.1/ 2017-07-02/ luisito/ luisito suarez
Contratos/ CREATE/ 33/ 127.0.0.1/ 2017-07-03/ luisito/ luisito suarez
Contratos/ UPDATE/ 33/ 127.0.0.1/ 2017-07-03/ luisito/ luisito suarez
Contratos/ UPDATE/ 33/ 127.0.0.1/ 2017-07-03/ luisito/ luisito suarez
Usuarios/ UPDATE/ 15/ 127.0.0.1/ 2017-07-03/ luisito/ luisito suarez
Usuarios/ UPDATE/ 15/ 127.0.0.1/ 2017-07-03/ luisito/ luisito suarez
Autos/ CREATE/ 67/ 127.0.0.1/ 2017-07-11/ luisito/ luisito suarez
Contratos/ CREATE/ 36/ 127.0.0.1/ 2017-07-11/ luisito/ luisito suarez
RolUsuario/ DELETE/ 14/ 127.0.0.1/ 2017-07-12/ luisito/ luisito suarez
Usuarios/ DELETE/ 28/ 127.0.0.1/ 2017-07-12/ luisito/ luisito suarez
Turista/ DELETE/ 22/ 127.0.0.1/ 2017-07-12/ luisito/ luisito suarez
Contratos/ DELETE/ 10/ 127.0.0.1/ 2017-07-12/ luisito/ luisito suarez
Contratos/ DELETE/ 12/ 127.0.0.1/ 2017-07-12/ luisito/ luisito suarez
Turista/ DELETE/ 26/ 127.0.0.1/ 2017-07-12/ luisito/ luisito suarez
Autos/ DELETE/ 65/ 127.0.0.1/ 2017-07-12/ luisito/ luisito suarez
Autos/ DELETE/ 3/ 127.0.0.1/ 2017-07-12/ luisito/ luisito suarez
Autos/ CREATE/ 68/ 127.0.0.1/ 2017-07-12/ luisito/ luisito suarez
Contratos/ CREATE/ 37/ 127.0.0.1/ 2017-07-12/ luisito/ luisito suarez
Usuarios/ CREATE/ 29/ 127.0.0.1/ 2017-07-12/ luisito/ luisito suarez
RolUsuario/ CREATE/ 15/ 127.0.0.1/ 2017-07-12/ luisito/ luisito suarez
RolUsuario/ CREATE/ 16/ 127.0.0.1/ 2017-07-12/ luisito/ luisito suarez
RolUsuario/ CREATE/ 17/ 127.0.0.1/ 2017-07-12/ luisito/ luisito suarez
